Date,Market_Price
9/15/2021 0:00,47072.12
9/16/2021 0:00,48167.85
9/17/2021 0:00,47785.26
9/18/2021 0:00,47263.6
9/19/2021 0:00,48259.45
9/20/2021 0:00,47249.38
9/21/2021 0:00,42901.56
9/22/2021 0:00,40619.27
9/23/2021 0:00,43604.76
9/24/2021 0:00,44888.96
9/25/2021 0:00,42815.56
9/26/2021 0:00,42742.01
9/27/2021 0:00,43182.63
9/28/2021 0:00,42238.2
9/29/2021 0:00,41011.16
9/30/2021 0:00,41522.38
10/1/2021 0:00,43757.81
10/2/2021 0:00,48140.11
10/3/2021 0:00,47727.1
10/4/2021 0:00,48205.72
10/5/2021 0:00,49143.95
10/6/2021 0:00,51505.83
10/7/2021 0:00,55343.76
10/8/2021 0:00,53801.1
10/9/2021 0:00,53867.3
10/10/2021 0:00,55122.59
10/11/2021 0:00,54625.74
10/12/2021 0:00,57452.01
10/13/2021 0:00,56242.94
10/14/2021 0:00,57406.69
10/15/2021 0:00,57397.74
10/16/2021 0:00,61641.17
10/17/2021 0:00,60948.78
10/18/2021 0:00,61546.21
10/19/2021 0:00,61971.59
10/20/2021 0:00,64287.64
10/21/2021 0:00,66063.56
10/22/2021 0:00,62354.86
10/23/2021 0:00,60697.06
10/24/2021 0:00,61277.28
10/25/2021 0:00,60884.18
10/26/2021 0:00,63070.54
10/27/2021 0:00,60345.17
10/28/2021 0:00,58538.49
10/29/2021 0:00,60587.09
10/30/2021 0:00,62249.18
10/31/2021 0:00,61731.29
11/1/2021 0:00,61373.44
11/2/2021 0:00,61029.5
11/3/2021 0:00,63241.11
11/4/2021 0:00,62954.86
11/5/2021 0:00,61441.83
11/6/2021 0:00,61072.32
11/7/2021 0:00,61516.31
11/8/2021 0:00,63293.22
11/9/2021 0:00,67562.17
11/10/2021 0:00,66954.11
11/11/2021 0:00,64976.73
11/12/2021 0:00,64838.81
11/13/2021 0:00,64254.67
11/14/2021 0:00,64420.94
11/15/2021 0:00,65468.75
11/16/2021 0:00,63584.25
11/17/2021 0:00,60172.26
11/18/2021 0:00,60381.35
11/19/2021 0:00,56921.34
11/20/2021 0:00,58133.02
11/21/2021 0:00,59777.98
11/22/2021 0:00,58755.9
11/23/2021 0:00,56301.52
11/24/2021 0:00,57578.22
11/25/2021 0:00,57187.54
11/26/2021 0:00,58935.45
11/27/2021 0:00,53588.21
11/28/2021 0:00,54801.15
11/29/2021 0:00,57292.28
11/30/2021 0:00,57828.45
12/1/2021 0:00,57025.79
12/2/2021 0:00,57229.76
